URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
"http://api.map.baidu.com/geocoder/v2/?output=json&location=31.2047535,121.4766929&ak=XYUPDnaR4Fp1LbU7GT2L7VIK&ts=1505373513&as=a275c2fb7904a9bd6a&cp=20439e539dadb6dfe2",COMPLETE,200,http,GET,text/javascript;charset=utf-8,/172.24.2.221,api.map.baidu.com/0.0.91.34,,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,70,3,20,,1,0,46,17.368164,317.3828,0.0,325,,517,403,,30.4%
http://p1.pstatp.com/large/39950006ac431c1eed16.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,41,,,,0,28,13,588.3906,0.0,855.7129,168,,555,23980,,
http://p1.pstatp.com/live/100x100/39f00008a0bd8d1b727b.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,14 Sep 2017 15:18:32,21,,,,0,0,21,99.93457,0.0,0.0,175,,548,1426,,
http://p3.pstatp.com/large/3795/3047680722,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,21,,,,1,3,17,152.57617,154.29688,1016.60156,158,,465,2658,,
http://p1.pstatp.com/large/396c0009cc568b982945.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,49,2,10,,0,23,14,477.43848,0.0,1010.01953,168,,556,23232,,
http://v6-hs.ixigua.com/video/m/22056a6b65a0ba94d0cbc3eba642079a2f21151362b00005136090eb4c2/?Expires=1505377109&AWSAccessKeyId=qh0h9TdcEMoS2oPj7aKX&Signature=JqEoR42Jm%2FEqmeqp1Q%2FDKm6jtJU%3D&iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v6-hs.ixigua.com/0.0.91.36,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:36,2726,2,23,,1,2687,13,95.57324,664.0625,96.71289,680,,542,265564,,
http://v3-hs.ixigua.com/8abb9693eab847650c961b84c7bb2608/59ba2d45/video/m/2200fff8e9eb1a84aabac01668638334fd4115137760000699022f26067/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v3-hs.ixigua.com/0.0.91.38,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:36,2720,4,18,,0,2689,9,80.68164,0.0,81.38574,622,,719,223380,,
http://v3-hs.ixigua.com/2799056978de97bc6b767d7c3b2f6370/59ba2d45/video/m/220f591ce10188d4f86818e5ba89f8257b3115135d20000309481b2aebb/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v3-hs.ixigua.com/0.0.91.38,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:36,2708,6,18,,0,2505,179,63.223633,0.0,68.10547,622,,761,173938,,
http://v3-hs.ixigua.com/60b9cee756ba949038168801481d5756/59ba2d45/video/m/2206353ca8277a84a839b831eff8f8619971151360400007a591b06add6/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v3-hs.ixigua.com/0.0.91.38,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:33,14 Sep 2017 15:18:36,2703,5,17,,0,2668,13,78.51172,0.0,79.31445,622,,851,215840,,
http://p1.pstatp.com/large/3736000224e50383c077.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,139,,,,1,114,24,148.69727,164.0625,179.86719,168,,443,20554,,
http://p3.pstatp.com/live/100x100/243c00122725f30817a9.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,39,,,,1,15,23,62.5,170.89844,151.10645,175,,569,1752,,
http://p1.pstatp.com/live/100x100/1dae001a6830725a959d.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,32,,,,1,1,30,65.76465,170.89844,1933.5938,175,,384,1596,,
http://p1.pstatp.com/large/18a50007de20abe40a10,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,1140,,,,0,356,784,25.05957,0.0,79.80078,163,,384,28707,,
https://api.huoshan.com/hotsoon/feed/?type=video&max_time=1505373509298&count=20&req_from=feed_loadmore&live_sdk_version=261&iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&ssmix=a&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&ts=1505373515&as=a20522eb3b44298d2a&cp=2b4f935bbcafb4dce2,COMPLETE,200,https,GET,application/json,/172.24.2.221,api.huoshan.com/0.0.91.1,,14 Sep 2017 15:18:34,14 Sep 2017 15:18:34,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,357,,,,1,41,315,20.55957,713.8672,161.6084,731,,0,6785,,88.8%
http://p3.pstatp.com/large/38830011a9ec728da89d.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,76,1,16,,0,39,20,197.25195,0.0,380.18262,168,,573,14610,,
http://p3.pstatp.com/large/3793/3114521287,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,57,2,16,,0,15,24,53.67578,0.0,193.68457,158,,465,2510,,
http://p9.pstatp.com/large/37a30001e516f285010d.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9.pstatp.com/0.0.91.28,,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,151,2,13,,0,120,16,231.17285,0.0,289.52637,168,,417,35160,,
http://p1.pstatp.com/large/398d000b2eeb7dc8a6e6.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:35,14 Sep 2017 15:18:35,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,817,1,11,,0,103,702,27.515625,0.0,216.66406,168,,556,22296,,
http://v6-hs.ixigua.com/video/m/22005bacdfe5d754631965b604e95763371115136ad0000bf15b604db12/?Expires=1505377109&AWSAccessKeyId=qh0h9TdcEMoS2oPj7aKX&Signature=Hb4%2FxP9%2ByglNYk%2BtWnFz6WzzMrw%3D&iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v6-hs.ixigua.com/0.0.91.36,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,1695,6,13,,1,1662,13,58.726562,666.0156,59.49121,682,,509,100740,,
http://v1-hs.ixigua.com/8a0e0f79cbb8c5a575910089203a0bff/59ba2d45/video/m/2209fda8154528643cab70c3f0dd1ff9ba511510ca900005c824315389b/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v1-hs.ixigua.com/0.0.91.40,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,1774,6,27,,1,1599,141,55.347656,607.4219,61.02539,622,,638,99284,,
http://v1-hs.ixigua.com/3b2fa1e9935308cf83b8fb7cd2ced9dc/59ba2d45/video/m/2205f470c19a49a41f6aad4c22413e22cb2114f8120000098f302eefc7/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v1-hs.ixigua.com/0.0.91.40,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,1417,8,25,,1,1325,58,139.72852,606.4453,148.97266,621,,639,201488,,
http://v3-hs.ixigua.com/1587bf7b7d185c256b7eb5e59de3972b/59ba2d45/video/m/22038985de177264c228422053d8300907e115111ee00000a5f75660ee1/?iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&dns=202.96.209.133,COMPLETE,206,http,GET,video/mp4,/172.24.2.221,v3-hs.ixigua.com/0.0.91.38,com.xk72.proxy.ProxyException: Client closed connection before receiving entire response,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,14 Sep 2017 15:18:37,1420,5,8,,0,92,1315,8.438477,0.0,123.65137,622,,762,10887,,
http://p3.pstatp.com/large/36fe0006bf56f3b9d557.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,167,,,,0,140,27,151.03906,0.0,178.9961,168,,575,25086,,
http://p9.pstatp.com/large/39940000051d30daac0a.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9.pstatp.com/0.0.91.28,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,14 Sep 2017 15:18:37,559,2,11,,0,141,405,46.8291,0.0,184.49316,168,,528,26110,,
http://q.qlogo.cn/qqapp/101302986/4184E0DFBDBDED954FDE8E1DA8ED21A2/100,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,q.qlogo.cn/0.0.91.42,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,127,1,31,,1,28,66,41.822266,181.64062,183.20996,186,,227,5026,,
http://p3.pstatp.com/large/35f6001714511732d6d1.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:37,14 Sep 2017 15:18:38,1626,,,,0,964,662,10.203125,0.0,17.04004,168,,575,16246,,
http://p3.pstatp.com/live/100x100/36cc0002611abfee32d8.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3.pstatp.com/0.0.91.24,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,37,,,,0,12,25,58.96289,0.0,167.56152,175,,567,1492,,
http://p1.pstatp.com/live/100x100/34b300073c2e878a25e2.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p1.pstatp.com/0.0.91.26,,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,14 Sep 2017 15:18:36,38,,,,1,10,27,83.05859,170.89844,298.53516,175,,437,2620,,
http://p9.pstatp.com/live/100x100/383f0008c7d0d3dee7e9.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9.pstatp.com/0.0.91.28,,14 Sep 2017 15:18:37,14 Sep 2017 15:18:37,14 Sep 2017 15:18:38,14 Sep 2017 15:18:38,1065,,,,0,101,964,2.1767578,0.0,21.261719,175,,409,1790,,
