URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://api.huoshan.com/hotsoon/sp/?spname=hotsoon&live_sdk_version=261&iid=14833202920&device_id=38901304519&ac=wifi&channel=zb_tengxun_wzl&aid=1112&app_name=live_stream&version_code=261&version_name=2.6.1&device_platform=android&ssmix=a&device_type=Phantom6&device_brand=TECNO&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=261&resolution=1080*1806&dpi=480&update_version_code=2610&ts=1505391165&as=a2e527fb7d23d962ca&cp=71359d50d4aab324e2,COMPLETE,200,http,GET,application/json; charset=utf-8,/172.24.3.158,api.huoshan.com/0.0.115.87,,14 Sep 2017 20:12:45,14 Sep 2017 20:12:45,14 Sep 2017 20:12:45,14 Sep 2017 20:12:45,323,,9,,9,0,305,3.4101562,72.37402,0.0,667,,309,152,,11.6%
https://android.clients.google.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,android.clients.google.com/0.0.116.106,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 20:12:45,,,14 Sep 2017 20:14:04,78182,2,,,,,,0.001953125,,,167,,,,,
http://m.analytics.126.net/news/c,COMPLETE,200,http,POST,application/octet-stream,/172.24.3.158,m.analytics.126.net/0.0.116.108,,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,29,1,17,,0,1,10,24.245117,0.0,41.992188,471,206,40,3,48.4%,
http://m.analytics.126.net/news/c,COMPLETE,200,http,POST,application/octet-stream,/172.24.3.158,m.analytics.126.net/0.0.116.108,,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,10,,,,0,1,9,111.52344,0.0,41.992188,473,626,40,3,63.7%,
http://www.qchannel01.cn/center/adj?ak=com.netease.newsreader.activity-28.1&uid=955D357C2D5D2C35B8B561C0AEFEDECB,COMPLETE,200,http,POST,text/html;charset=GBK,/172.24.3.158,www.qchannel01.cn/0.0.116.110,,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,14 Sep 2017 20:12:46,82,2,45,,0,1,34,9.706055,0.0,16.601562,321,477,14,3,,
https://me.xdrig.com/v1/c148a155,COMPLETE,200,https,POST,application/octet-stream,/172.24.3.158,me.xdrig.com/0.0.116.116,,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,152,2,42,72,1,0,35,4.7089844,712.8906,0.0,144,586,0,3,,
http://mon.snssdk.com/monitor/collect/?sdk_version=400&os_api=23&device_type=Phantom6&ssmix=a&manifest_version_code=634&dpi=480&abflag=3&app_name=news_article&ab_client=a1%2Cc4%2Ce1%2Cf2%2Cg2%2Cf7&version_name=6.3.4&ab_version=173013%2C173478%2C172435%2C159915%2C170021%2C173967%2C172663%2C172657%2C171194%2C171889%2C170354%2C174740%2C176176%2C176029%2C169447%2C169430%2C172451%2C156286%2C173236%2C164870%2C174396%2C175402%2C169300%2C176269%2C176201%2C152027%2C175269%2C174802%2C176243%2C31649%2C159502%2C176196%2C173096%2C170567%2C170713%2C168080%2C169031%2C156262%2C145585%2C174429%2C175190%2C173200%2C175882%2C162572%2C172784%2C152377%2C158959%2C169178%2C164942%2C170988%2C150352&ac=wifi&update_version_code=6348&channel=tengxun&_rticket=1505391185385&device_platform=android&iid=14838292100&version_code=634&plugin=2431&openudid=9318c794e4c75cb4&device_id=38901304519&resolution=1080*1806&os_version=6.0&language=zh&device_brand=TECNO&ab_feature=94563%2C102749&aid=13&tt_data=a,COMPLETE,200,http,POST,application/json,/172.24.3.158,mon.snssdk.com/0.0.116.118,,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,121,36,44,,1,1,39,20.095703,2040.0391,391.60156,1461,628,223,178,0.0%,14.0%
https://lg.snssdk.com/article/category/get_subscribed/v2/?iid=14838292100&device_id=38901304519&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=634&version_name=6.3.4&device_platform=android&ab_version=173013%2C173478%2C172435%2C159915%2C170021%2C173967%2C172663%2C172657%2C171194%2C171889%2C170354%2C174740%2C176176%2C176029%2C169447%2C169430%2C172451%2C156286%2C173236%2C164870%2C174396%2C175402%2C169300%2C176269%2C176201%2C152027%2C175269%2C174802%2C176243%2C31649%2C159502%2C176196%2C173096%2C170567%2C170713%2C168080%2C169031%2C156262%2C145585%2C174429%2C175190%2C173200%2C175882%2C162572%2C172784%2C152377%2C158959%2C169178%2C164942%2C170988%2C150352&ab_client=a1%2Cc4%2Ce1%2Cf2%2Cg2%2Cf7&ab_feature=94563%2C102749&abflag=3&ssmix=a&device_type=Phantom6&device_brand=TECNO&language=zh&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=634&resolution=1080*1806&dpi=480&update_version_code=6348&_rticket=1505391185874&plugin=2431,COMPLETE,200,https,POST,application/json,/172.24.3.158,lg.snssdk.com/0.0.116.75,,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,14 Sep 2017 20:13:05,75,,,,0,1,74,48.879883,0.0,721.6797,1513,1502,0,739,,79.4%
https://lg.snssdk.com/service/2/app_log/?iid=14838292100&device_id=38901304519&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=634&version_name=6.3.4&device_platform=android&ab_version=173013%2C173478%2C172435%2C159915%2C170021%2C173967%2C172663%2C172657%2C171194%2C171889%2C170354%2C174740%2C176176%2C176029%2C169447%2C169430%2C172451%2C156286%2C173236%2C164870%2C174396%2C175402%2C169300%2C176269%2C176201%2C152027%2C175269%2C174802%2C176243%2C31649%2C159502%2C176196%2C173096%2C170567%2C170713%2C168080%2C169031%2C156262%2C145585%2C174429%2C175190%2C173200%2C175882%2C162572%2C172784%2C152377%2C158959%2C169178%2C164942%2C170988%2C150352&ab_client=a1%2Cc4%2Ce1%2Cf2%2Cg2%2Cf7&ab_feature=94563%2C102749&abflag=3&ssmix=a&device_type=Phantom6&device_brand=TECNO&language=zh&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=634&resolution=1080*1806&dpi=480&update_version_code=6348&_rticket=1505391186039&plugin=2431&tt_data=a,COMPLETE,200,https,POST,application/json; charset=utf-8,/172.24.3.158,lg.snssdk.com/0.0.116.75,,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,53,,,,0,1,52,45.198242,0.0,91.796875,1491,868,0,94,,-32.4%
https://lg.snssdk.com/search/suggest/homepage_suggest/?from=feed&sug_category=__all__&iid=14838292100&device_id=38901304519&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=634&version_name=6.3.4&device_platform=android&ab_version=173013%2C173478%2C172435%2C159915%2C170021%2C173967%2C172663%2C172657%2C171194%2C171889%2C170354%2C174740%2C176176%2C176029%2C169447%2C169430%2C172451%2C156286%2C173236%2C164870%2C174396%2C175402%2C169300%2C176269%2C176201%2C152027%2C175269%2C174802%2C176243%2C31649%2C159502%2C176196%2C173096%2C170567%2C170713%2C168080%2C169031%2C156262%2C145585%2C174429%2C175190%2C173200%2C175882%2C162572%2C172784%2C152377%2C158959%2C169178%2C164942%2C170988%2C150352&ab_client=a1%2Cc4%2Ce1%2Cf2%2Cg2%2Cf7&ab_feature=94563%2C102749&abflag=3&ssmix=a&device_type=Phantom6&device_brand=TECNO&language=zh&os_api=23&os_version=6.0&openudid=9318c794e4c75cb4&manifest_version_code=634&resolution=1080*1806&dpi=480&update_version_code=6348&_rticket=1505391186097&plugin=2431,COMPLETE,200,https,GET,application/json,/172.24.3.158,lg.snssdk.com/0.0.116.75,,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,14 Sep 2017 20:13:06,83,,,,1,1,81,18.589844,1419.9219,123.046875,1454,,0,126,,-8.6%
