URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://www.googleapis.com,EXCEPTION,0,https,CONNECT,,/127.0.0.1,www.googleapis.com/0.0.92.200,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 15:40:44,,,14 Sep 2017 15:42:00,75620,2,,,,,,0.0029296875,,,238,,,,,
http://tx2.a.yximgs.com/upic/2017/09/10/17/BMjAxNzA5MTAxNzM2MTlfNjQzNjQxNzg1XzMyMDQ2MzkzNTRfMV8z.jpg?tag=1-1505192599-h-0-yx7aksrgcq-da1e901e38a90abb,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,tx2.a.yximgs.com/0.0.92.192,,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,13,,,,0,1,12,39.13672,0.0,156.25,361,,160,,,
http://ali2.a.yximgs.com/upic/2017/09/10/17/BMjAxNzA5MTAxNzMwMTNfMjYwNDI3MDhfMzIwNDU2ODY5Ml8xXzM=.jpg?tag=1-1505192599-h-0-hvirc05zyg-19ec8c0a72c384de,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,ali2.a.yximgs.com/0.0.92.201,,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,14 Sep 2017 15:40:50,326,4,213,,0,0,109,2.9111328,0.0,0.0,363,,609,,,
http://tx2.a.yximgs.com/upic/2017/09/11/16/BMjAxNzA5MTExNjE3MzNfMzg5NDAwMjU2XzMyMTMxMjYzNDhfMl8z.jpg?tag=1-1505192599-h-0-xomjvprnob-2611199671ce2fe7,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,tx2.a.yximgs.com/0.0.92.192,,14 Sep 2017 15:40:51,14 Sep 2017 15:40:51,14 Sep 2017 15:40:51,14 Sep 2017 15:40:51,14,,,,0,1,13,36.341797,0.0,156.25,361,,160,,,
http://ali2.a.yximgs.com/uhead/AB/2017/09/05/21/BMjAxNzA5MDUyMTU4NDNfMjQ5NTAyMDJfMl9oZDEyNF83NQ==_s.jpg,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,ali2.a.yximgs.com/0.0.92.201,,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,20,,,,0,1,19,41.35742,0.0,518.5547,316,,531,,,
http://ali2.a.yximgs.com/uhead/AB/2017/09/10/20/BMjAxNzA5MTAyMDUxMzZfMTIyMTM2NjE2XzJfaGQ2MTBfNjE2_s.jpg,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,ali2.a.yximgs.com/0.0.92.201,,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,79,4,8,,1,1,65,10.506836,308.59375,521.4844,316,,534,,,
http://tx2.a.yximgs.com/upic/2017/09/10/18/BMjAxNzA5MTAxODM1MjFfMTI1Nzc4NzNfMzIwNTMyNTc3NF8xXzM=.jpg?tag=1-1505192599-h-0-tw9bote8lz-3e1695ef9dfdfef0,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,tx2.a.yximgs.com/0.0.92.192,,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,65,,,,1,1,63,7.3310547,352.53906,124.02344,361,,127,,,
http://tx2.a.yximgs.com/upic/2017/09/11/21/BMjAxNzA5MTEyMTI2NDBfMzk3NTk1MDQzXzMyMTYwMTI1ODNfMl8z.jpg?tag=1-1505192599-h-0-syi5x8nypi-f244810d4889b4b7,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,tx2.a.yximgs.com/0.0.92.192,,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,12,,,,0,0,12,36.865234,0.0,0.0,361,,92,,,
http://tx2.a.yximgs.com/upic/2017/09/10/16/BMjAxNzA5MTAxNjU5MTdfMzA2MzUwNTY0XzMyMDQyMDc5NTZfMl8z.jpg?tag=1-1505192599-h-0-0zqwzbsn9d-2411b79f8afd169f,COMPLETE,304,http,GET,image/jpeg,/172.24.2.221,tx2.a.yximgs.com/0.0.92.203,,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,14 Sep 2017 15:40:52,48,1,21,,1,0,25,10.761719,352.53906,0.0,361,,168,,,
http://api.gifshow.com/rest/n/feed/list?type=7&lat=31.202849&lon=121.481169&ver=4.20&ud=0&sys=ANDROID_6.0&c=MYAPP&net=WIFI&did=ANDROID_9318c794e4c75cb4&mod=TECNO%28Phantom6%29,COMPLETE,200,http,POST,application/json;charset=UTF-8,/172.24.2.221,api.gifshow.com/0.0.92.196,,14 Sep 2017 15:41:00,14 Sep 2017 15:41:00,14 Sep 2017 15:41:01,14 Sep 2017 15:41:01,347,,,,1,3,343,27.976562,640.625,3022.461,401,255,128,9157,,84.4%
