URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://mtalk.google.com,RECEIVING_RESPONSE_BODY,0,https,CONNECT,,/127.0.0.1,mtalk.google.com/0.0.92.150,,14 Sep 2017 15:39:52,,,,6614977,5,52,100,,,,0.0,,,99,235,,208,,
https://graph.facebook.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,graph.facebook.com/0.0.105.168,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 17:25:51,,,14 Sep 2017 17:27:09,77223,2,,,,,,9.765625E-4,,,132,,,,,
https://m.irs01.com/hmt?_t=i&_z=m&_ua=UA-mgtv-270001,COMPLETE,200,https,POST,image/gif,/172.24.3.158,m.irs01.com/0.0.105.178,,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,190,2,43,101,0,0,44,9.50293,0.0,0.0,261,1545,0,43,,
http://www.qchannel01.cn/center/adj,COMPLETE,200,http,POST,text/html;charset=GBK,/172.24.3.158,www.qchannel01.cn/0.0.105.180,,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,14 Sep 2017 17:25:53,75,2,40,,1,0,32,9.296875,680.66406,0.0,244,453,14,3,,
http://sdk.open.phone.igexin.com/api.php?format=json&t=1,COMPLETE,200,http,POST,text/html;charset=UTF-8,/172.24.3.158,sdk.open.phone.igexin.com/0.0.105.182,,14 Sep 2017 17:25:53,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,63,4,33,,1,1,24,9.207031,395.5078,184.57031,248,157,120,69,,
https://graph.facebook.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,graph.facebook.com/0.0.105.168,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 17:25:54,,,14 Sep 2017 17:27:11,77151,2,,,,,,9.765625E-4,,,132,,,,,
http://sdk.open.phone.igexin.com/api.php?format=json&t=1,COMPLETE,200,http,POST,text/html;charset=UTF-8,/172.24.3.158,sdk.open.phone.igexin.com/0.0.105.182,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14,,,,0,1,13,41.992188,0.0,184.57031,248,165,120,69,,
http://alog.umeng.com/app_logs,COMPLETE,200,http,POST,application/thrift,/172.24.3.158,alog.umeng.com/0.0.105.184,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,29,4,16,,0,0,9,55.32715,0.0,0.0,248,1098,126,171,,
https://settings.crashlytics.com/spi/v2/platforms/android/apps/com.hunantv.imgo.activity/settings?icon_hash=e20f2bc57b57ae92bb201c81b8c738448c382b7e&build_version=552100&display_version=5.5.2&source=1,COMPLETE,403,https,GET,application/json; charset=utf-8,/172.24.3.158,settings.crashlytics.com/0.0.105.170,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,624,2,204,208,0,1,209,1.4052734,0.0,42.96875,854,,0,44,,-83.3%
https://graph.facebook.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,graph.facebook.com/0.0.105.168,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 17:25:54,,,14 Sep 2017 17:27:11,77136,2,,,,,,9.765625E-4,,,132,,,,,
http://log.api.max.mgtv.com/ip,COMPLETE,200,http,GET,application/json,/172.24.3.158,log.api.max.mgtv.com/0.0.105.176,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,63,2,31,,1,0,29,6.013672,264.64844,0.0,271,,75,42,,
http://apilocate.amap.com/mobile/binary,COMPLETE,200,http,POST,application/octet-stream;charset=UTF-8,/172.24.3.158,apilocate.amap.com/0.0.105.186,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,14 Sep 2017 17:25:54,121,3,52,,0,0,66,16.78711,0.0,0.0,897,485,215,483,,41.2%
https://settings.crashlytics.com/spi/v2/platforms/android/apps/com.hunantv.imgo.activity/settings?icon_hash=e20f2bc57b57ae92bb201c81b8c738448c382b7e&build_version=552100&display_version=5.5.2&source=1,COMPLETE,403,https,GET,application/json; charset=utf-8,/172.24.3.158,settings.crashlytics.com/0.0.105.170,,14 Sep 2017 17:25:54,14 Sep 2017 17:25:55,14 Sep 2017 17:25:55,14 Sep 2017 17:25:55,693,3,229,230,0,0,231,1.2646484,0.0,0.0,854,,0,44,,-83.3%
