URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://api.data.meitu.com/update/hardware_switch?device=Phantom6&softid=30&osversion=23,COMPLETE,200,https,GET,application/json,/172.24.2.221,api.data.meitu.com/0.0.93.150,,14 Sep 2017 15:49:30,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,122,1,25,38,1,1,56,2.4892578,214.84375,88.86719,220,,0,91,,-33.8%
https://graph.facebook.com,EXCEPTION,0,https,CONNECT,,/172.24.2.221,graph.facebook.com/0.0.93.152,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 15:49:30,,,14 Sep 2017 15:50:46,75670,4,,,,,,9.765625E-4,,,132,,,,,
https://api.meipai.com/gifts/media_gifts.json?language=zh-Hans&client_id=1089857302&device_id=02%3A00%3A00%3A00%3A00%3A00&version=6505&channel=google&model=Phantom6&os=6.0&origin_channel=google&locale=2&mac=02%3A00%3A00%3A00%3A00%3A00&android_id=9318c794e4c75cb4&ab_codes=%5B0%5D&lat=31.202897&lon=121.481269&sig=adaa63d9777d31956cabbf3c0ae4978b&sigVersion=1.3&sigTime=1505375370563,COMPLETE,200,https,GET,application/json; charset=utf-8,/172.24.2.221,api.meipai.com/0.0.93.146,,14 Sep 2017 15:49:30,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,122,7,10,14,0,1,90,10.637695,0.0,755.8594,555,,0,774,,69.2%
https://dc.meitustat.com/app/C671B74C5E41CFC9.json,COMPLETE,200,https,GET,application/json,/172.24.2.221,dc.meitustat.com/0.0.93.156,,14 Sep 2017 15:49:30,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,86,5,26,38,1,2,14,4.0195312,223.63281,61.035156,229,,0,125,,
https://adui.tg.meitu.com/lua/advert/getsetting.json,COMPLETE,200,https,POST,application/json,/172.24.2.221,adui.tg.meitu.com/0.0.93.132,,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,164,2,11,14,1,0,136,3.6796875,538.08594,0.0,255,296,0,67,,-63.4%
https://graph.facebook.com,EXCEPTION,0,https,CONNECT,,/172.24.2.221,graph.facebook.com/0.0.93.152,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 15:49:31,,,14 Sep 2017 15:50:47,75589,0,,,,,,9.765625E-4,,,132,,,,,
https://adui.tg.meitu.com/lua/advert/getpreload.json,COMPLETE,200,https,POST,application/json,/172.24.2.221,adui.tg.meitu.com/0.0.93.132,,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,150,,,,1,1,148,9.986328,627.9297,870.1172,255,388,0,891,,73.5%
https://nbsdk-baichuan.alicdn.com/3.1.1.11/23368279/1.0.0/meta.htm?plat=android,COMPLETE,200,https,GET,text/html;charset=utf8,/172.24.2.221,nbsdk-baichuan.alicdn.com/0.0.93.140,,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,14 Sep 2017 15:49:31,15,,,,0,0,15,34.04883,0.0,0.0,258,,0,265,,20.4%
http://mea.meitudata.com/40c45b7e18a3cbb5ba03f1445bacbe70-2640.jpg?imageView2/2/format/webp/w/960,COMPLETE,200,http,GET,image/webp,/172.24.2.221,mea.meitudata.com/0.0.93.158,,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,102,2,18,,0,71,11,348.2588,0.0,497.15234,230,,575,35570,,
http://mea.meitudata.com/9d5e04f68d22a76010213c8301e0c49a.png?imageView/1/format/webp/w/1148/h/1920,COMPLETE,200,http,GET,image/webp,/172.24.2.221,mea.meitudata.com/0.0.93.158,,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,14 Sep 2017 15:49:32,129,2,20,,0,24,83,68.46484,0.0,358.56055,232,,574,8238,,
