URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://mtalk.google.com,RECEIVING_RESPONSE_BODY,0,https,CONNECT,,/127.0.0.1,mtalk.google.com/0.0.92.150,,14 Sep 2017 15:39:52,,,,2032814,5,52,100,,,,0.0,,,99,223,,198,,
http://dyn1.img.miaopai.com/user-icon/bmqQg9RcTZXHzVoqOpEFbw___480__1488941114147.jpg?imageView2/2/w/124/h/124/interlace/0/q/100,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,dyn1.img.miaopai.com/0.0.95.109,,14 Sep 2017 16:02:51,14 Sep 2017 16:02:51,14 Sep 2017 16:02:51,14 Sep 2017 16:02:51,21,,,,0,5,16,443.26562,0.0,1809.7656,266,,530,8736,,
http://bsyimg6.cdn.krcom.cn/images/xHUTtbVGUK~GRGeuhH1s1Hi7GfRHU9OC_tmp_11_318_.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,bsyimg6.cdn.krcom.cn/0.0.95.131,,14 Sep 2017 16:02:51,14 Sep 2017 16:02:51,14 Sep 2017 16:02:51,14 Sep 2017 16:02:52,94,3,29,,0,45,17,348.40332,0.0,722.98145,221,,699,32616,,
http://bsyimg1.cdn.krcom.cn/images/LGVNRsBO0g2sV1OCBBnrvTHUqdaPSZHCuj9t6w___tmp_11_948_.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,bsyimg1.cdn.krcom.cn/0.0.95.133,,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,107,5,41,,0,43,18,354.84766,0.0,877.79297,229,,699,37952,,
http://dyn1.img.miaopai.com/user-icon/J5lBi2-U-aEfTsV2EabgMg___480__1503296896707.jpg?imageView2/2/w/124/h/124/interlace/0/q/100,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,dyn1.img.miaopai.com/0.0.95.109,,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,31,,,,0,6,25,175.74902,0.0,864.7461,266,,592,4721,,
http://bsyimg2.cdn.krcom.cn/images/v3E7R2vuURE1avp08hlzuiDf-NBKUCJR_tmp_11_588_.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,bsyimg2.cdn.krcom.cn/0.0.95.135,,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,112,2,24,,0,55,31,407.4004,0.0,825.6924,221,,699,45804,,
http://tp4.sinaimg.cn/2615632951/180/40007687478/1,COMPLETE,301,http,GET,text/html; charset=utf-8,/172.24.2.221,tp4.sinaimg.cn/0.0.95.137,,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,37,3,18,,1,1,14,20.507812,183.59375,575.1953,188,,479,110,,
http://tva1.sinaimg.cn/crop.0.0.180.180.180/9be76437jw1e8qgp5bmzyj2050050aa8.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,tva1.sinaimg.cn/0.0.95.139,,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,14 Sep 2017 16:02:52,58,2,27,,0,14,15,300.94922,0.0,1231.584,218,,666,16990,,
http://bsyimg3.cdn.krcom.cn/images/33WPGxz0V-KXmvL6xdT2lsL1kDSPrH2I_4c5m.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,bsyimg3.cdn.krcom.cn/0.0.95.141,,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,70,2,28,,0,27,13,248.22754,0.0,635.81445,214,,699,16880,,
http://img.kuaigeng.com/img/3a546808babc0fc6bb73a006815c1d332c056cea.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,img.kuaigeng.com/0.0.95.143,,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,14 Sep 2017 16:02:53,74,4,20,,0,34,16,247.28125,0.0,532.16895,210,,667,17861,,
