URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://commdata.v.qq.com/commdatav2?cmd=29&qqlog=&appver=5.8.0.12925&market_id=1308&install_time=1505186672&sysver=6.0&device=Phantom6&lang=zh&platform=3&guid=9318c794e4c75cb4&selfguid=d572e276976811e79d19a0429186d00a,COMPLETE,200,http,GET,application/x-javascript; charset=utf8,/172.24.3.158,commdata.v.qq.com/0.0.102.57,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,75,2,6,,0,1,66,11.822266,0.0,585.9375,308,,201,399,,61.4%
http://mtrace.qq.com/mkvcollect,COMPLETE,200,http,POST,text/html,/172.24.3.158,mtrace.qq.com/0.0.102.45,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,9,,,,3,0,6,110.35156,312.17383,0.0,258,701,49,9,0.0%,0.0%
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,67,,,,0,1,66,16.557617,0.0,380.85938,172,574,0,390,,
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,68,,,,0,0,68,15.567383,0.0,0.0,172,572,0,340,,
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,67,,,,0,0,67,12.62207,0.0,0.0,172,558,0,136,,
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,79,,,,1,1,77,10.902344,712.8906,148.4375,172,558,0,152,,
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,55,,,,0,1,54,15.571289,0.0,143.55469,172,558,0,147,,
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,93,0,5,,0,1,87,13.09375,0.0,500.0,172,563,0,512,,
http://mtrace.qq.com/mkvcollect,COMPLETE,200,http,POST,text/html,/172.24.3.158,mtrace.qq.com/0.0.102.45,,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,14 Sep 2017 17:02:16,9,,,,3,0,6,104.81738,295.57227,0.0,258,650,49,9,0.0%,0.0%
http://101.226.68.67/,COMPLETE,200,http,POST,,/172.24.3.158,101.226.68.67/101.226.68.67,,14 Sep 2017 17:02:17,14 Sep 2017 17:02:17,14 Sep 2017 17:02:17,14 Sep 2017 17:02:17,50,,,,0,0,50,21.386719,0.0,0.0,172,626,0,297,,
