URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://p3-xg.pstatp.com/video1609/3a020001477a5b5182e0.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,177,6,36,,4,122,9,366.41992,56.396484,529.76074,231,,672,65510,,
http://p3-xg.pstatp.com/thumb/1a6b001d46ed4035f2ee,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,146,10,32,,7,5,92,29.72461,30.970703,824.6094,222,,660,3562,,
http://p3-xg.pstatp.com/thumb/2c60001a96eb9c4c0371,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,146,15,28,,5,4,94,37.2959,43.359375,1307.1289,222,,659,4695,,
http://p3-xg.pstatp.com/video1609/386b0005b3a606c5129a.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,14 Sep 2017 15:27:22,145,8,34,,8,4,91,133.12207,28.198242,4769.287,231,,569,18966,,
http://p3-xg.pstatp.com/video1609/386b0005b3a606c5129a.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,30,,,,1,17,12,643.4238,225.58594,1122.1846,231,,569,18966,,
http://p3-xg.pstatp.com/thumb/1a6b001d46ed4035f2ee,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,21,2,8,,1,1,9,206.65918,216.79688,4123.047,222,,660,3562,,
http://p3-xg.pstatp.com/video1609/3a020001477a5b5182e0.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,14 Sep 2017 15:27:23,106,6,8,,1,81,10,611.85254,225.58594,797.91113,231,,672,65510,,
https://www.google.com,EXCEPTION,0,https,CONNECT,,/172.24.2.221,www.google.com/0.0.91.186,com.xk72.proxy.ProxyException: No request was made. Possibly the SSL certificate was rejected.,14 Sep 2017 15:27:26,,,,,2,29,108,,,,,,,121,,,,,
https://applog.uc.cn/collect?chk=eb5d992e&vno=1505374082752&uuid=dbd9eff5-d9fa-4512-8850-98c9b4ae9915&app=290b067655a9&zip=gzip,COMPLETE,200,https,POST,text/plain; charset=UTF-8,/172.24.2.221,applog.uc.cn/0.0.91.187,,14 Sep 2017 15:28:03,14 Sep 2017 15:28:03,14 Sep 2017 15:28:03,14 Sep 2017 15:28:03,167,2,42,84,2,2,35,4.057617,328.61328,10.253906,335,338,0,21,,
https://play.googleapis.com,EXCEPTION,0,https,CONNECT,,/172.24.2.221,play.googleapis.com/0.0.91.189,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 15:28:06,,,14 Sep 2017 15:29:22,75595,2,,,,,,0.001953125,,,175,,,,,
https://android.clients.google.com,EXCEPTION,0,https,CONNECT,,/172.24.2.221,android.clients.google.com/0.0.91.191,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 15:28:08,,,14 Sep 2017 15:29:23,75596,2,,,,,,0.001953125,,,167,,,,,
https://music.163.com/eapi/pl/count,COMPLETE,200,https,POST,text/plain;charset=UTF-8,/127.0.0.1,music.163.com/0.0.91.193,,14 Sep 2017 15:28:10,14 Sep 2017 15:28:10,14 Sep 2017 15:28:10,14 Sep 2017 15:28:10,77,2,17,33,2,3,20,20.583008,675.29297,78.125,704,679,0,240,,9.1%
http://p3-xg.pstatp.com/thumb/18a10017b8ac5d21835d,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:28:13,14 Sep 2017 15:28:13,14 Sep 2017 15:28:13,14 Sep 2017 15:28:13,14,,,,0,1,13,289.55078,0.0,3836.914,222,,660,3269,,
http://p9-xg.pstatp.com/video1609/39f700035802144cd5f5.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9-xg.pstatp.com/0.0.91.195,,14 Sep 2017 15:28:13,14 Sep 2017 15:28:13,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,46,2,24,,1,4,15,210.42773,225.58594,2363.5254,231,,519,9162,,
http://p3-xg.pstatp.com/thumb/4881/5221903029,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14,,,,0,1,13,365.16406,0.0,4900.3906,217,,601,4417,,
http://p9-xg.pstatp.com/video1609/2e9a0000a2c4c34a084f.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9-xg.pstatp.com/0.0.91.195,,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,26,,,,0,11,15,378.94336,0.0,875.17676,231,,414,9444,,
http://p3-xg.pstatp.com/thumb/16aa00070826ae2f07ba,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,11,,,,0,1,10,361.50488,0.0,3759.7656,222,,661,3189,,
http://p3-xg.pstatp.com/thumb/1dcc000bf7c4807980b0,COMPLETE,200,http,GET,image/jpeg,/172.24.2.221,p3-xg.pstatp.com/0.0.91.185,,14 Sep 2017 15:28:14,14 Sep 2017 15:28:14,14 Sep 2017 15:28:15,14 Sep 2017 15:28:15,15,,,,1,2,12,324.15332,216.79688,2322.754,222,,572,4185,,
http://p9-xg.pstatp.com/video1609/3911000302f7fd1f4e7a.webp,COMPLETE,200,http,GET,image/webp,/172.24.2.221,p9-xg.pstatp.com/0.0.91.195,,14 Sep 2017 15:28:15,14 Sep 2017 15:28:15,14 Sep 2017 15:28:15,14 Sep 2017 15:28:15,30,2,11,,1,2,14,287.36914,225.58594,4197.754,231,,527,8070,,
