Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
p1.pstatp.com,image,webp,540,982,Huoshan,Cover,
p1.pstatp.com,image,jpeg,640,640,Huoshan,Avatar,
p1.pstatp.com,image,webp,100,100,Huoshan,Avatar,
p3.pstatp.com,image,jpeg,180,180,Huoshan,Small-Icon,
p3.pstatp.com,image,webp,100,100,Huoshan,Avatar,
p3.pstatp.com,image,webp,540,960,Huoshan,Cover,
p3.pstatp.com,image,webp,544,952,Huoshan,Cover,
p9.pstatp.com,image,webp,480,854,Huoshan,Cover,
p9.pstatp.com,image,webp,100,100,Huoshan,Avatar,
q.qlogo.cn,image,jpeg,100,100,Huoshan,Avatar,
wx.qlogo.cn,image,jpeg,768,768,Huoshan,Avatar,
