Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
m.qiyipic.com,image,gif,180,101,AiQiYi,GIF,
img7.qiyipic.com,image,jpeg,130,130,AiQiYi,Small-Icon,
m.qiyipic.com,image,jpeg,294,170,AiQiYi,Cover,
mall0.qiyipic.com,image,jpeg,800,800,AiQiYi,Avatar,
mall1.qiyipic.com,image,jpeg,350,350,AiQiYi,Avatar,
pic0.qiyipic.com,image,jpeg,600,300,AiQiYi,AD,
pic1.qiyipic.com,image,jpeg,600,300,AiQiYi,Cover,
pic2.qiyipic.com,image,jpeg,300,170,AiQiYi,Cover,
pic3.qiyipic.com,image,jpeg,300,170,AiQiYi,Cover,
pic4.qiyipic.com,image,jpeg,160,160,AiQiYi,Cover,
pic5.qiyipic.com,image,jpeg,300,170,AiQiYi,Cover,
pic6.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
pic7.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
pic8.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
pic9.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u0.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u1.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u2.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u3.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u4.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u5.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u6.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u7.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u8.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
u9.qiyipic.com,image,jpeg,480,270,AiQiYi,Cover,
img7.qiyipic.com,image,png,130,129,AiQiYi,Small-Icon,
pic0.qiyipic.com,image,png,72,72,AiQiYi,Small-Icon,
pic1.qiyipic.com,image,png,42,42,AiQiYi,Small-Icon,
pic2.qiyipic.com,image,png,72,72,AiQiYi,Small-Icon,
pic3.qiyipic.com,image,png,55,55,AiQiYi,Small-Icon,
pic4.qiyipic.com,image,png,60,60,AiQiYi,Small-Icon,
pic5.qiyipic.com,image,png,147,42,AiQiYi,Small-Icon,
pic6.qiyipic.com,image,png,90,45,AiQiYi,Small-Icon,
pic7.qiyipic.com,image,png,36,36,AiQiYi,Small-Icon,
pic8.qiyipic.com,image,png,135,60,AiQiYi,Small-Icon,
pic9.qiyipic.com,image,png,72,72,AiQiYi,Small-Icon,
static.g.iqiyi.com,image,png,512,512,AiQiYi,Small-Icon,
www.qiyipic.com,image,png,70,70,AiQiYi,Small-Icon,
m.qiyipic.com,image,webp,294,170,AiQiYi,Cover,
