Domain,Type,Format,PicW,PicH,Label-App,Sub-Label,note
inews.gtimg.com,image,sharpp,0,0,Tencent-News,Cover,
inews.gtimg.com,image,jpeg,1164,234,Tencent-News,Ad,
pnewsapp.tc.qq.com,image,sharpp,0,0,Tencent-News,Cover,
puui.qpic.cn,image,jpeg,496,280,Tencent-News,Cover-Video,
q1.qlogo.cn,image,png,100,100,Tencent-News,Small-Icon,
q2.qlogo.cn,image,gif,100,100,Tencent-News,Small-Icon,
splashnews.gtimg.com,image,jpeg,1080,1920,Tencent-News,Ad,
swa.gtimg.com,image,jpeg,640,246,Tencent-News,Ad,
tui.gtimg.com,image,jpeg,1080,1920,Tencent-News,Ad,
wa.gtimg.com,image,jpeg,1080,1920,Tencent-News,Ad,
wa.gtimg.com,image,webp,640,360,Tencent-News,Ad,
wa.gtimg.com,image,jpeg,114,114,Tencent-News,Ad,
wx.qlogo.cn,image,jpeg,96,96,Tencent-News,Small-Icon,
