stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;48518;23;;;;;39.808313;;388 144;0;0;2 020;0;;15 997;39 333;0;;0;1 322;4 719;312 713;0;
1;2;0x0000000I64X;4;P;00:00:00:066;183;23;;;;;39.249935;;1 464;300;0;75;0;;4;5;480;;100;1;93;139;0;
2;1;0x0000000I64X;2;B;00:00:00:033;91;28;;;;;43.490838;;728;287;0;40;0;;0;0;145;;22;0;0;0;0;
3;6;0x0000000I64X;12;P;00:00:00:200;6231;24;;;;;35.280779;;49 848;632;0;2 083;0;;24;76;10 582;;5 954;5;3 901;25 387;0;
4;4;0x0000000I64X;8;B;00:00:00:133;1910;26;;;;;39.383215;;15 280;404;0;2 533;0;;7;27;7 372;;1 648;64;735;1 769;0;
5;3;0x0000000I64X;6;B;00:00:00:100;1204;26;;;;;41.168118;;9 632;455;0;2 389;0;;0;2;5 251;;453;4;101;164;0;
6;5;0x0000000I64X;10;B;00:00:00:166;719;30;;;;;39.734979;;5 752;1 027;0;928;0;;3;2;2 468;;207;2;54;64;0;
7;10;0x0000000I64X;20;P;00:00:00:333;4949;25;;;;;38.067612;;39 592;778;0;2 048;0;;33;103;11 265;;4 462;3;2 935;16 679;0;
8;8;0x0000000I64X;16;B;00:00:00:266;2027;27;;;;;38.574287;;16 216;510;0;2 379;0;;0;0;6 640;;1 874;86;863;2 936;0;
9;7;0x0000000I64X;14;B;00:00:00:233;1274;27;;;;;40.694860;;10 192;547;0;2 105;0;;0;0;4 487;;948;18;330;765;0;
10;9;0x0000000I64X;18;B;00:00:00:300;868;27;;;;;37.944199;;6 944;1 043;0;1 134;0;;8;6;2 870;;359;12;118;372;0;
11;14;0x0000000I64X;28;P;00:00:00:466;10547;25;;;;;35.885495;;84 376;450;0;3 287;0;;750;2 125;17 631;;5 528;130;4 460;47 990;0;
12;12;0x0000000I64X;24;B;00:00:00:400;3135;27;;;;;37.917520;;25 080;594;0;3 795;0;;53;103;9 846;;2 576;196;1 256;5 512;0;
13;11;0x0000000I64X;22;B;00:00:00:366;1882;28;;;;;38.583054;;15 056;463;0;2 493;0;;0;2;7 206;;1 414;52;625;1 969;0;
14;13;0x0000000I64X;26;B;00:00:00:433;1074;29;;;;;36.648356;;8 592;1 047;0;1 445;0;;4;11;3 673;;476;20;170;812;0;
15;16;0x0000000I64X;32;P;00:00:00:533;9018;25;;;;;37.931258;;72 144;563;0;3 163;0;;878;2 594;13 445;;4 872;159;4 081;40 217;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1796;27;;;;;39.127500;;14 368;712;0;2 969;0;;12;25;7 320;;933;33;386;908;0;
17;18;0x0000000I64X;36;P;00:00:00:600;6290;25;;;;;37.258834;;50 320;631;0;2 881;0;;566;1 243;12 473;;4 646;64;3 364;22 731;0;
18;17;0x0000000I64X;34;B;00:00:00:566;1986;28;;;;;40.110049;;15 888;615;0;2 485;0;;20;55;7 462;;1 423;80;487;2 245;0;
19;20;0x0000000I64X;40;P;00:00:00:666;10885;25;;;;;37.122905;;87 080;368;0;3 835;0;;2 132;5 822;13 681;;4 503;296;4 528;48 893;0;
20;19;0x0000000I64X;38;B;00:00:00:633;2067;28;;;;;39.496518;;16 536;587;0;2 399;0;;32;68;7 879;;1 637;65;667;2 230;0;
21;22;0x0000000I64X;44;P;00:00:00:733;8398;25;;;;;37.731791;;67 184;481;0;3 384;0;;1 080;2 705;13 816;;5 124;134;3 896;34 315;0;
22;21;0x0000000I64X;42;B;00:00:00:700;2027;28;;;;;39.992939;;16 216;540;0;2 686;0;;17;20;8 416;;1 372;42;596;1 592;0;
23;24;0x0000000I64X;48;P;00:00:00:800;6964;25;;;;;37.541127;;55 712;582;0;2 848;0;;893;1 931;12 848;;4 900;123;3 429;26 143;0;
24;23;0x0000000I64X;46;B;00:00:00:766;1796;27;;;;;40.529676;;14 368;769;0;2 244;0;;4;26;6 894;;1 155;45;524;1 609;0;
25;26;0x0000000I64X;52;P;00:00:00:866;7705;25;;;;;37.938818;;61 640;496;0;2 924;0;;817;1 958;13 727;;5 457;105;3 948;30 360;0;
26;25;0x0000000I64X;50;B;00:00:00:833;1715;27;;;;;40.172616;;13 720;788;0;2 494;0;;14;36;6 680;;989;34;446;1 214;0;
27;28;0x0000000I64X;56;P;00:00:00:933;12550;24;;;;;38.427197;;100 400;87;0;4 474;0;;2 452;6 028;16 404;;5 826;234;5 714;56 065;0;
28;27;0x0000000I64X;54;B;00:00:00:900;2728;27;;;;;40.307012;;21 824;800;0;3 666;0;;49;136;10 968;;1 531;44;985;2 542;0;
29;30;0x0000000I64X;60;P;00:00:01:000;8154;24;;;;;36.498412;;65 232;488;0;2 631;0;;349;816;13 686;;6 547;46;4 387;34 850;0;
30;29;0x0000000I64X;58;B;00:00:00:966;1434;29;;;;;40.329087;;11 472;806;0;2 016;0;;8;17;5 457;;786;25;321;990;0;
31;32;0x0000000I64X;64;P;00:00:01:066;8334;28;;;;;31.879312;;66 672;697;0;2 310;0;;499;742;10 299;;4 830;77;3 851;41 813;0;
32;31;0x0000000I64X;62;B;00:00:01:033;1524;33;;;;;36.187330;;12 192;631;0;2 558;0;;8;26;6 022;;772;18;365;885;0;
33;36;0x0000000I64X;72;P;00:00:01:200;8773;26;;;;;32.179302;;70 184;285;0;3 080;0;;364;1 199;17 932;;6 964;34;4 958;34 011;0;
34;34;0x0000000I64X;68;B;00:00:01:133;1964;30;;;;;34.739840;;15 712;990;0;1 591;0;;20;40;4 868;;1 682;166;816;4 429;0;
35;33;0x0000000I64X;66;B;00:00:01:100;763;35;;;;;38.408872;;6 104;952;0;503;0;;0;2;1 748;;554;46;185;1 314;0;
36;35;0x0000000I64X;70;B;00:00:01:166;856;33;;;;;29.708850;;6 848;1 057;0;1 172;0;;4;3;2 714;;359;7;197;446;0;
37;38;0x0000000I64X;76;P;00:00:01:266;8801;26;;;;;35.110381;;70 408;480;0;3 363;0;;1 217;3 282;16 392;;5 184;135;4 144;33 872;0;
38;37;0x0000000I64X;74;B;00:00:01:233;1116;30;;;;;39.007809;;8 928;1 013;0;1 330;0;;11;17;3 957;;548;28;271;907;0;
39;40;0x0000000I64X;80;P;00:00:01:333;8143;25;;;;;36.702056;;65 144;484;0;3 544;0;;1 149;2 902;13 352;;5 237;113;4 028;32 153;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1086;29;;;;;39.841986;;8 688;1 031;0;1 235;0;;8;12;4 103;;443;18;217;744;0;
41;42;0x0000000I64X;84;P;00:00:01:400;7406;25;;;;;37.075635;;59 248;397;0;3 599;0;;1 173;3 231;13 327;;5 028;120;3 736;26 375;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1183;28;;;;;40.151937;;9 464;1 022;0;1 177;0;;12;30;4 425;;602;24;288;1 001;0;
