MP4, , FrmNum,,,,FrmNumRatio(%),,, FrmSize(Byte),,,, FrmSizeRatio(%),,,AvgSize(Byte),,,,MaxSize(Byte),,,MinSize(Byte),,, Compressed Ratio, , , , Bit Rate(kbps), , , , , , , , Frame PSNR(db), , , , , , , , , , Frame QP, , , , , , , , , ,
MP4, Filesize(MB), All,I,P,B, I, P, B, All, I, P, B, I, P, B, Avg, I, P, B, I, P, B, I, P, B, Avg, I, P, B , avg, avgfps30, 1s, 2s, 3s, 4s, 5s, 6s, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB
Android-MX6-GalaxyJ7-APPS-01-MX6-Muse.mp4, 4.94, 459, 7, 452, 0, 1.52, 98.47, 0, 4970019, 313241, 4656778, 0, 6.30, 93.69, 0,10827.92, 44748.71, 10302.60, , 66803, 21399, 0, 32019, 2654, 0, 32.62, 7.89, 34.29, ,2030.76, 2537.79, 2582.41, 2400.33, 2296.60, 2195.60, 2158.56, 2110.46, 36.93, 38.89, 36.90, , 42.35, 41.03, 0, 36.44, 31.75, 0,26.38, 24.14, 26.41, , 26.00, 33.00, 0, 20.00, 23.00, 0
Android-MX6-GalaxyJ7-APPS-02-Galaxy-Muse.mp4, 2.84, 249, 4, 245, 0, 1.60, 98.39, 0, 2738784, 176793, 2561991, 0, 6.45, 93.54, 0,10999.13, 44198.25, 10457.10, , 57383, 19525, 0, 35208, 2925, 0, 32.11, 7.99, 33.78, ,2063.33, 2577.92, 2118.82, 1938.14, 1935.03, 1993.98, 2005.47, 2052.43, 38.26, 41.44, 38.21, , 42.49, 40.82, 0, 39.59, 33.46, 0,25.20, 21.75, 25.26, , 24.00, 32.00, 0, 20.00, 23.00, 0
Android-MX6-GalaxyJ7-APPS-04-Galaxy-Muse.mp4, 3.52, 315, 5, 310, 0, 1.58, 98.41, 0, 3479429, 217169, 3262260, 0, 6.24, 93.75, 0,11045.80, 43433.80, 10523.41, , 75438, 21010, 0, 31354, 2685, 0, 31.98, 8.13, 33.57, ,2071.87, 2588.86, 3008.85, 2480.80, 2333.47, 2247.49, 2188.29, 2159.75, 33.04, 35.26, 33.01, , 42.04, 36.81, 0, 32.03, 30.66, 0,29.73, 27.40, 29.77, , 31.00, 33.00, 0, 20.00, 25.00, 0
Android-MX6-GalaxyJ7-APPS-05-Galaxy-Muse.mp4, 2.02, 310, 5, 305, 0, 1.61, 98.38, 0, 1905830, 126129, 1779701, 0, 6.61, 93.38, 0,6147.83, 25225.80, 5835.08, , 27335, 10143, 0, 20551, 1418, 0, 57.46, 14.00, 60.54, ,1153.31, 1441.36, 848.05, 977.94, 991.78, 1075.03, 1114.64, 1105.15, 42.14, 44.74, 42.10, , 44.99, 44.36, 0, 44.51, 40.07, 0,21.94, 19.20, 21.98, , 20.00, 25.00, 0, 19.00, 21.00, 0
Android-MX6-GalaxyJ7-APPS-06-MX6-Muse.mp4, 1.99, 222, 4, 218, 0, 1.80, 98.19, 0, 1949732, 128728, 1821004, 0, 6.60, 93.39, 0,8782.57, 32182.00, 8353.22, , 36060, 15445, 0, 29129, 5569, 0, 40.22, 10.97, 42.29, ,1646.73, 2058.41, 1721.08, 1638.23, 1526.01, 1578.01, 1632.70, 1626.01, 40.24, 43.07, 40.19, , 43.27, 41.38, 0, 42.86, 37.26, 0,23.07, 20.00, 23.13, , 20.00, 26.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-APPS-07-Galaxy-Muse.mp4, 3.81, 380, 6, 374, 0, 1.57, 98.42, 0, 3761965, 218358, 3543607, 0, 5.80, 94.19, 0,9899.90, 36393.00, 9474.88, , 44241, 15540, 0, 31923, 3501, 0, 35.68, 9.70, 37.28, ,1856.62, 2321.51, 2403.15, 2101.30, 2051.81, 1951.16, 1910.28, 1846.92, 40.52, 43.23, 40.48, , 43.60, 42.14, 0, 42.77, 36.55, 0,22.71, 20.00, 22.76, , 20.00, 27.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-APPS-08-MX6-Muse.mp4, 6.16, 347, 5, 342, 0, 1.44, 98.55, 0, 6336810, 255044, 6081766, 0, 4.02, 95.97, 0,18261.70, 51008.80, 17782.94, , 104643, 24225, 0, 35137, 6938, 0, 19.34, 6.92, 19.86, ,3426.04, 4282.55, 4154.16, 3704.71, 3592.88, 3569.48, 3460.35, 3473.14, 29.45, 31.12, 29.42, , 41.80, 32.82, 0, 27.68, 27.76, 0,32.38, 31.20, 32.40, , 35.00, 35.00, 0, 20.00, 30.00, 0
Android-MX6-GalaxyJ7-APPS-09-Galaxy-Muse.mp4, 3.78, 327, 5, 322, 0, 1.52, 98.47, 0, 3749288, 191597, 3557691, 0, 5.11, 94.88, 0,11465.71, 38319.40, 11048.72, , 67220, 21096, 0, 28054, 4184, 0, 30.81, 9.21, 31.97, ,2150.61, 2687.27, 3087.12, 2630.13, 2289.00, 2242.38, 2279.88, 2306.55, 33.18, 34.28, 33.17, , 42.12, 36.89, 0, 30.02, 30.37, 0,29.46, 28.40, 29.48, , 33.00, 33.00, 0, 20.00, 25.00, 0
Android-MX6-GalaxyJ7-Muse-Self-01-Galaxy.mp4, 2.71, 341, 5, 336, 0, 1.46, 98.53, 0, 2618038, 187739, 2430299, 0, 7.17, 92.82, 0,7677.53, 37547.80, 7233.03, , 46535, 16073, 0, 27436, 1849, 0, 46.01, 9.40, 48.84, ,1440.38, 1800.47, 1758.92, 1621.89, 1670.51, 1622.71, 1575.34, 1592.59, 41.52, 43.58, 41.48, , 44.87, 43.64, 0, 42.73, 36.56, 0,22.56, 19.80, 22.60, , 20.00, 27.00, 0, 19.00, 21.00, 0
Android-MX6-GalaxyJ7-Muse-Self-01-MX6.mp4, 3.41, 335, 5, 330, 0, 1.49, 98.50, 0, 3369090, 229180, 3139910, 0, 6.80, 93.19, 0,10056.98, 45836.00, 9514.87, , 60095, 19917, 0, 35955, 3148, 0, 35.12, 7.70, 37.12, ,1886.81, 2358.51, 2241.17, 1989.50, 2088.19, 2072.34, 2023.04, 2047.48, 39.77, 42.30, 39.74, , 42.75, 41.56, 0, 41.87, 35.83, 0,23.52, 20.60, 23.56, , 21.00, 27.00, 0, 20.00, 22.00, 0
