EncodeParam, Average
 MP4FileSize, 1.43 
 VideoPSNR, 40.24
 FrameNumAll, 51.35 
 FrameNumI, 1.77 
 FrameNumP, 94.44 
 FrameNumB, 81.22
 FrameNumRatioI, .44 
 FrameNumRatioP, 52.66 
 FrameNumRatioB, 46.12
 FrameSizeAll, 1331830.44 
 FrameSizeI, 99050.44 
 FrameSizeP, 1037762.55 
 FrameSizeB, 195017.44
 FrameSizeRatioI, 7.58 
 FrameSizeRatioP, 77.38 
 FrameSizeRatioB, 15.02
 FrameCompressedRatio, 113.82 
 FrameCompressedRatioI, 21.86 
 FrameCompressedRatioP, 79.95 
 FrameCompressedRatioB, 328.86
 FrameSizeAvg, 8020.45 
 FrameSizeAvgI, 53923.85 
 FrameSizeAvgP, 12309.49 
 FrameSizeAvgB, 2495.74
 FrameSizeMaxI, 57448.33 
 FrameSizeMaxP, 29010.22 
 FrameSizeMaxB, 9381.66
 FrameSizeMinI, 49995.44 
 FrameSizeMinP, 9381.66 
 FrameSizeMinB, 116.33
 BitRateAvg, 985.34 
 BitRateAvgFPS30, 1881.22
 BitRateIn1S, 6232.33 
 BitRateIn2S, 3454.51 
 BitRateIn3S, 2178.99
 BitRateIn4S, 1655.83 
 BitRateIn5S, 1321.23 
 BitRateIn6S, 1106.06
 FramePSNRAvg, 40.23 
 FramePSNRI, 42.28 
 FramePSNRP, 40.20 
 FramePSNRB, 40.18
 FramePSNRMaxI, 42.95 
 FramePSNRMaxP, 47.65 
 FramePSNRMaxB, 47.02
 FramePSNRMinI, 41.58 
 FramePSNRMinP, 34.25 
 FramePSNRMinB, 35.10
 FrameQPAvg, 23.86 
 FrameQPI, 20.85 
 FrameQPP, 23.07 
 FrameQPB, 24.78
 FrameQPMaxI, 21.66 
 FrameQPMaxP, 26.88 
 FrameQPMaxB, 30.00
 FrameQPMinI, 20.11 
 FrameQPMinP, 20.66 
 FrameQPMinB, 18.55
