EncodeParam, Average
 MP4FileSize, 3.63 
 VideoPSNR, 36.34
 FrameNumAll, 72.67 
 FrameNumI, 5.11 
 FrameNumP, 321.11 
 FrameNumB, 0
 FrameNumRatioI, .72 
 FrameNumRatioP, 98.41 
 FrameNumRatioB, 0
 FrameSizeAll, 3609888.88 
 FrameSizeI, 202127.44 
 FrameSizeP, 3407761.44 
 FrameSizeB, 0
 FrameSizeRatioI, 5.83 
 FrameSizeRatioP, 94.16 
 FrameSizeRatioB, 0
 FrameCompressedRatio, 34.70 
 FrameCompressedRatioI, 9.33 
 FrameCompressedRatioP, 36.33 
 FrameCompressedRatioB, 0
 FrameSizeAvg, 10936.77 
 FrameSizeAvgI, 39325.26 
 FrameSizeAvgP, 10483.62 
 FrameSizeAvgB, 0
 FrameSizeMaxI, 60571.44 
 FrameSizeMaxP, 18900.44 
 FrameSizeMaxB, 0
 FrameSizeMinI, 29993.11 
 FrameSizeMinP, 0 
 FrameSizeMinB, 0
 BitRateAvg, 2051.40 
 BitRateAvgFPS30, 2563.76
 BitRateIn1S, 2545.21 
 BitRateIn2S, 2261.90 
 BitRateIn3S, 2147.69
 BitRateIn4S, 2120.91 
 BitRateIn5S, 2109.04 
 BitRateIn6S, 2093.01
 FramePSNRAvg, 36.33 
 FramePSNRI, 38.66 
 FramePSNRP, 36.29 
 FramePSNRB, 0
 FramePSNRMaxI, 42.75 
 FramePSNRMaxP, 39.24 
 FramePSNRMaxB, 0
 FramePSNRMinI, 36.45 
 FramePSNRMinP, 33.15 
 FramePSNRMinB, 0
 FrameQPAvg, 26.71 
 FrameQPI, 24.32 
 FrameQPP, 26.75 
 FrameQPB, 0
 FrameQPMaxI, 26.66 
 FrameQPMaxP, 30.77 
 FrameQPMaxB, 0
 FrameQPMinI, 19.88 
 FrameQPMinP, 24.00 
 FrameQPMinB, 0
