EncodeParam, Average
 MP4FileSize, 1.92 
 VideoPSNR, 38.26
 FrameNumAll, 67.96 
 FrameNumI, 2.00 
 FrameNumP, 153.30 
 FrameNumB, 206.00
 FrameNumRatioI, .26 
 FrameNumRatioP, 42.16 
 FrameNumRatioB, 57.26
 FrameSizeAll, 1824331.40 
 FrameSizeI, 78338.30 
 FrameSizeP, 1384583.70 
 FrameSizeB, 361409.40
 FrameSizeRatioI, 4.24 
 FrameSizeRatioP, 73.68 
 FrameSizeRatioB, 22.05
 FrameSizeAvg, 4998.72 
 FrameSizeAvgI, 39169.15 
 FrameSizeAvgP, 8720.55 
 FrameSizeAvgB, 1791.62
 FrameSizeMaxI, 46113.80 
 FrameSizeMaxP, 15386.30 
 FrameSizeMaxB, 5666.70
 FrameSizeMinI, 32224.50 
 FrameSizeMinP, 2062.60 
 FrameSizeMinB, 584.10
 FrameCompressedRatio, 165.95 
 FrameCompressedRatioI, 23.80 
 FrameCompressedRatioP, 93.58 
 FrameCompressedRatioB, 443.36
 BitRateAvg, 1171.87 
 BitRateAvgFPS30, 1171.87
 BitRateIn1S, 1263.56 
 BitRateIn2S, 1191.07 
 BitRateIn3S, 1183.37
 BitRateIn4S, 1151.94 
 BitRateIn5S, 1147.02 
 BitRateIn6S, 1153.31
 FramePSNRAvg, 38.17 
 FramePSNRI, 40.73 
 FramePSNRP, 37.50 
 FramePSNRB, 38.63
 FramePSNRMaxI, 41.94 
 FramePSNRMaxP, 43.11 
 FramePSNRMaxB, 43.11
 FramePSNRMinI, 39.52 
 FramePSNRMinP, 32.11 
 FramePSNRMinB, 32.22
 FrameQPAvg, 26.31 
 FrameQPI, 22.50 
 FrameQPP, 24.87 
 FrameQPB, 27.51
 FrameQPMaxI, 23.30 
 FrameQPMaxP, 28.20 
 FrameQPMaxB, 33.60
 FrameQPMinI, 21.70 
 FrameQPMinP, 22.70 
 FrameQPMinB, 23.20
