EncodeParam, Average
 MP4FileSize, 2.96 
 VideoPSNR, 38.58
 FrameNumAll, 67.48 
 FrameNumI, 1.00 
 FrameNumP, 185.60 
 FrameNumB, 165.40
 FrameNumRatioI, .13 
 FrameNumRatioP, 53.25 
 FrameNumRatioB, 46.44
 FrameSizeAll, 2950797.60 
 FrameSizeI, 30696.70 
 FrameSizeP, 2215659.10 
 FrameSizeB, 704441.80
 FrameSizeRatioI, 1.02 
 FrameSizeRatioP, 75.23 
 FrameSizeRatioB, 23.72
 FrameSizeAvg, 8376.85 
 FrameSizeAvgI, 30696.70 
 FrameSizeAvgP, 11939.77 
 FrameSizeAvgB, 4297.26
 FrameSizeMaxI, 30696.70 
 FrameSizeMaxP, 20354.60 
 FrameSizeMaxB, 7450.70
 FrameSizeMinI, 30696.70 
 FrameSizeMinP, 3100.60 
 FrameSizeMinB, 1176.90
 FrameCompressedRatio, 92.83 
 FrameCompressedRatioI, 33.71 
 FrameCompressedRatioP, 65.53 
 FrameCompressedRatioB, 182.61
 BitRateAvg, 1636.09 
 BitRateAvgFPS30, 1964.04
 BitRateIn1S, 1864.72 
 BitRateIn2S, 1674.37 
 BitRateIn3S, 1704.73
 BitRateIn4S, 1655.54 
 BitRateIn5S, 1668.29 
 BitRateIn6S, 1641.45
 FramePSNRAvg, 38.60 
 FramePSNRI, 39.82 
 FramePSNRP, 38.22 
 FramePSNRB, 38.99
 FramePSNRMaxI, 39.82 
 FramePSNRMaxP, 41.54 
 FramePSNRMaxB, 41.54
 FramePSNRMinI, 39.82 
 FramePSNRMinP, 33.54 
 FramePSNRMinB, 36.25
 FrameQPAvg, 24.33 
 FrameQPI, 24.80 
 FrameQPP, 23.40 
 FrameQPB, 25.42
 FrameQPMaxI, 24.80 
 FrameQPMaxP, 27.80 
 FrameQPMaxB, 29.90
 FrameQPMinI, 24.80 
 FrameQPMinP, 20.50 
 FrameQPMinB, 23.20
