MP4, , Basic info, , , , , , , FrameNum,,,,  FrameRatio(%),,,FrameSize,,,,CompressedRatio(%),,,, QP, , , FrmNum,,,,FrmNumRatio(%),,, FrmSize(Byte),,,, FrmSizeRatio(%),,,AvgSize(Byte),,,,MaxSize(Byte),,,MinSize(Byte),,, Compressed Ratio, , , , Bit Rate(kbps), , , , , , , , Frame PSNR(db), , , , , , , , , , Frame QP, , , , , , , , , ,
MP4, Filesize(MB), profile, level, EncM, Resol, FrRate, Dura,PSNR, All, I, P, B, I,  P,  B,  Avg, I, P, B,  Avg,  I,  P,  B,  Avg, Max, Min, All,I,P,B, I, P, B, All, I, P, B, I, P, B, Avg, I, P, B, I, P, B, I, P, B, Avg, I, P, B , avg, avgfps30, 1s, 2s, 3s, 4s, 5s, 6s, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB
Apps-Douyin-Muse-01-iphone7:7-Muse.mp4, 3.71, High, 3.1,CABAC, 540 x 960,25, 00:00:17:480,39.16, 437, 1 ,222 , 214 ,0.22, 50.80,48.97, 8437 ,36 948 , 12 258 ,4 339 ,  92, 21,  63, 179, 24.27,44, 16, 437, 1, 222, 214, .22, 50.80, 48.97, 3687007, 36948, 2721497, 928562, 1.00, 73.81, 25.18,8437.08, 36948.00, 12258.99, 4339.07, 36948, 22146, 10257, 36948, 1064, 332, 92.16, 21.04, 63.43, 179.20,1647.86, 1978.34, 1954.71, 1694.49, 1729.21, 1679.64, 1692.77, 1644.67, 39.15, 39.24, 38.76, 39.56, 39.24, 40.74, 41.48, 39.24, 32.00, 36.24,23.79, 25.00, 22.99, 24.61, 25.00, 29.00, 32.00, 25.00, 21.00, 23.00
Apps-Douyin-Muse-02-iphone7:7-Muse.mp4, 3.81, High, 3.1,CABAC, 540 x 960,25, 00:00:18:080,37.73, 452, 1 ,227 , 224 ,0.22, 50.22,49.55, 8374 ,35 213 , 12 114 ,4 463 ,  92, 22,  64, 174, 25.77,44, 17, 452, 1, 227, 224, .22, 50.22, 49.55, 3785072, 35213, 2749984, 999875, .93, 72.65, 26.41,8374.05, 35213.00, 12114.46, 4463.72, 35213, 18442, 8417, 35213, 1816, 904, 92.85, 22.08, 64.18, 174.20,1635.55, 1963.53, 1899.71, 1669.86, 1722.40, 1678.55, 1674.50, 1608.12, 38.36, 39.71, 37.87, 38.85, 39.71, 41.20, 42.71, 39.71, 30.33, 35.13,24.62, 25.00, 23.67, 25.59, 25.00, 30.00, 33.00, 25.00, 20.00, 23.00
Apps-Douyin-Muse-03-iphone7:7-Muse.mp4, 2.86, High, 3.1,CABAC, 540 x 960,25, 00:00:13:720,38.81, 343, 1 ,178 , 164 ,0.29, 51.89,47.81, 8287 ,28 188 , 12 117 ,4 009 ,  93, 27,  64, 193, 24.11,42, 16, 343, 1, 178, 164, .29, 51.89, 47.81, 2842632, 28188, 2156960, 657484, .99, 75.87, 23.12,8287.55, 28188.00, 12117.75, 4009.04, 28188, 25901, 6498, 28188, 2606, 214, 93.82, 27.58, 64.17, 193.96,1618.66, 1942.96, 1929.40, 1639.30, 1701.22, 1640.47, 1670.60, 1618.56, 38.80, 39.26, 38.53, 39.09, 39.26, 41.08, 41.08, 39.26, 33.28, 36.61,23.64, 25.00, 22.78, 24.57, 25.00, 27.00, 29.00, 25.00, 20.00, 23.00
Apps-Douyin-Muse-04-iphone7:7-Muse.mp4, 3.71, High, 3.1,CABAC, 540 x 960,25, 00:00:17:240,37.28, 431, 1 ,216 , 214 ,0.23, 50.11,49.65, 8569 ,40 499 , 12 967 ,3 980 ,  90, 19,  59, 195, 26.43,44, 16, 431, 1, 216, 214, .23, 50.11, 49.65, 3693393, 40499, 2800978, 851916, 1.09, 75.83, 23.06,8569.35, 40499.00, 12967.49, 3980.91, 40499, 21691, 6269, 40499, 1266, 919, 90.74, 19.20, 59.96, 195.33,1673.70, 2009.37, 1861.29, 1696.43, 1778.03, 1654.59, 1640.20, 1606.26, 37.09, 39.23, 36.68, 37.50, 39.23, 39.18, 40.31, 39.23, 29.94, 33.81,26.10, 25.00, 25.18, 27.04, 25.00, 31.00, 33.00, 25.00, 22.00, 25.00
Apps-Douyin-Muse-05-iphone7:7-Muse.mp4, 2.85, High, 3.1,CABAC, 540 x 960,25, 00:00:13:560,36.57, 339, 1 ,170 , 168 ,0.29, 50.14,49.55, 8348 ,27 770 , 12 557 ,3 973 ,  93, 28,  61, 195, 26.75,42, 16, 339, 1, 170, 168, .29, 50.14, 49.55, 2830065, 27770, 2134711, 667584, .98, 75.42, 23.58,8348.27, 27770.00, 12557.12, 3973.71, 27770, 22122, 6287, 27770, 2989, 1344, 93.14, 28.00, 61.92, 195.68,1630.52, 1956.62, 1807.33, 1651.19, 1681.76, 1651.93, 1669.70, 1636.25, 36.47, 39.16, 36.16, 36.78, 39.16, 39.26, 40.57, 39.16, 33.96, 34.70,26.36, 25.00, 25.44, 27.30, 25.00, 28.00, 30.00, 25.00, 20.00, 24.00
Apps-Douyin-Muse-06-iphone7:7-Muse.mp4, 3.03, High, 3.1,CABAC, 540 x 960,25, 00:00:14:560,35.53, 364, 1 ,183 , 180 ,0.27, 50.27,49.45, 8270 ,55 915 , 12 443 ,3 763 ,  94, 13,  62, 206, 27.57,44, 16, 364, 1, 183, 180, .27, 50.27, 49.45, 3010393, 55915, 2277099, 677379, 1.85, 75.64, 22.50,8270.31, 55915.00, 12443.16, 3763.21, 55915, 18480, 6608, 55915, 2276, 1228, 94.02, 13.90, 62.49, 206.63,1615.29, 1938.88, 2039.25, 1774.71, 1716.07, 1655.84, 1697.12, 1689.88, 35.44, 36.24, 35.19, 35.69, 36.24, 39.56, 39.69, 36.24, 31.39, 32.74,27.13, 26.00, 26.02, 28.26, 26.00, 31.00, 33.00, 26.00, 22.00, 23.00
Apps-Douyin-Muse-07-iphone7:7p-Muse.mp4, 2.39, High, 3.1,CABAC, 540 x 960,25, 00:00:11:360,43.01, 284, 1 ,211 , 72 ,0.35, 74.29,25.35, 8385 ,7 401 , 9 691 ,4 572 ,  92, 105,  80, 170, 20.71,37, 13, 284, 1, 211, 72, .35, 74.29, 25.35, 2381447, 7401, 2044841, 329205, .31, 85.86, 13.82,8385.37, 7401.00, 9691.18, 4572.29, 7401, 15732, 7844, 7401, 6216, 2900, 92.73, 105.06, 80.23, 170.06,1637.76, 1966.70, 1622.14, 1618.61, 1624.69, 1663.55, 1632.21, 1637.91, 43.00, 43.60, 42.96, 43.10, 43.60, 45.03, 44.86, 43.60, 39.89, 41.38,20.08, 24.00, 19.40, 22.02, 24.00, 22.00, 23.00, 24.00, 17.00, 20.00
Apps-Douyin-Muse-08-iphone7:7p-Muse.mp4, 2.49, High, 3.1,CABAC, 540 x 960,25, 00:00:11:880,41.20, 297, 1 ,156 , 140 ,0.33, 52.52,47.13, 8353 ,20 120 , 11 122 ,5 183 ,  93, 38,  69, 150, 22.51,39, 16, 297, 1, 156, 140, .33, 52.52, 47.13, 2480845, 20120, 1735105, 725620, .81, 69.94, 29.24,8353.01, 20120.00, 11122.46, 5183.00, 20120, 18709, 7101, 20120, 4007, 1394, 93.09, 38.64, 69.91, 150.02,1631.44, 1957.73, 1819.45, 1653.91, 1681.21, 1627.84, 1683.17, 1655.78, 41.19, 41.27, 40.81, 41.62, 41.27, 44.16, 43.25, 41.27, 37.65, 39.58,22.02, 24.00, 21.13, 23.00, 24.00, 25.00, 27.00, 24.00, 19.00, 22.00
Apps-Douyin-Muse-09-iphone7:7p-Muse.mp4, 2.38, High, 3.1,CABAC, 540 x 960,25, 00:00:11:360,40.82, 284, 1 ,145 , 138 ,0.35, 51.05,48.59, 8350 ,19 634 , 11 703 ,4 745 ,  93, 39,  66, 163, 22.50,40, 16, 284, 1, 145, 138, .35, 51.05, 48.59, 2371545, 19634, 1697044, 654867, .82, 71.55, 27.61,8350.51, 19634.00, 11703.75, 4745.41, 19634, 22247, 8369, 19634, 4110, 850, 93.12, 39.60, 66.44, 163.86,1630.95, 1958.53, 1859.66, 1654.78, 1674.48, 1629.04, 1650.96, 1662.21, 40.81, 40.93, 40.09, 41.56, 40.93, 42.18, 43.43, 40.93, 35.01, 38.89,21.95, 24.00, 20.86, 23.08, 24.00, 25.00, 27.00, 24.00, 19.00, 22.00
Apps-Douyin-Muse-10-iphone7:7p-Muse.mp4, 2.44, High, 3.1,CABAC, 540 x 960,25, 00:00:11:560,35.72, 289, 1 ,148 , 140 ,0.34, 51.21,48.44, 8393 ,35 279 , 12 421 ,3 942 ,  92, 22,  62, 197, 28.21,44, 20, 289, 1, 148, 140, .34, 51.21, 48.44, 2425577, 35279, 1838372, 551926, 1.45, 75.79, 22.75,8393.00, 35279.00, 12421.43, 3942.32, 35279, 18076, 6857, 35279, 4656, 1684, 92.64, 22.04, 62.60, 197.24,1639.25, 1967.79, 1854.32, 1690.49, 1738.24, 1673.97, 1671.71, 1654.90, 35.71, 39.59, 35.22, 36.20, 39.59, 38.46, 38.04, 39.59, 31.95, 33.42,27.68, 25.00, 26.62, 28.82, 25.00, 30.00, 32.00, 25.00, 25.00, 27.00
